# Resultados del análisis de periodo
# Archivo: maindata.txt

Ranking,Periodo(dias),Frecuencia(1/dia),Poder_LS,Chi2_red,Amplitud
1,0.050697,19.724917,0.0321,14.7777,0.0076
2,0.050696,19.725472,0.0321,14.7777,0.0076
3,0.050700,19.723805,0.0321,14.7777,0.0076
4,0.050699,19.724361,0.0321,14.7777,0.0076
5,0.050703,19.722694,0.0321,14.7777,0.0076
6,0.050704,19.722138,0.0321,14.7777,0.0076
7,0.050702,19.723250,0.0321,14.7777,0.0076
8,0.050706,19.721583,0.0321,14.7777,0.0076
9,0.050707,19.721027,0.0321,14.7777,0.0076
10,0.050709,19.720471,0.0321,14.7777,0.0076
